query_id,answer
438,1909 4328 4396 4308 4234 3419 4286 4366 1899 1918
439,4440 2171 4008 2968 2894 4439 2696 2220 2279 2217
440,4219 4214 2646 4424 4395 4384 4389 3026 4313 4440
441,4219 2646 4234 4384 3127 1909 4308 3564 4313 4440
442,4214 4424 4395 4219 4235 2646 4384 4301 4290 3026
443,4219 2646 4384 4400 1966 2865 4403 4361 4234 4308
444,4214 4451 4227 4366 4209 4447 4220 2405 2698 4290
445,4328 4286 1909 4234 4396 4308 1899 1951 3436 4362
446,4364 4423 4253 4220 4327 4232 4346 4547 2937 4371
447,4219 4384 2646 2865 4234 1966 4400 4308 1958 4387
448,4400 2646 4219 4387 4234 1966 4403 4408 4384 4308
449,1958 4219 4387 4400 4403 4384 1909 4234 1966 2646
450,2646 4219 4384 4234 4440 4328 4400 1966 4406 4320
451,1951 4214 4234 4366 4286 3467 4219 4308 4361 4328
452,4219 2646 4384 4234 3127 4308 4361 4440 3564 4233
453,4440 4313 4389 3078 4371 4219 4384 2646 4312 4361
454,4400 4445 4234 4209 2247 4308 4307 4407 4451 4243
455,1951 4234 4219 4308 4286 4361 1907 4403 4436 4362
456,4361 3844 4384 4234 4219 4406 2646 4440 4322 4422
457,1951 4234 4308 1909 4286 4328 4219 2646 4361 1899
458,4243 4320 4433 3862 3861 4436 4321 2232 2918 4354
459,4364 4423 4232 2908 4547 4220 4321 2917 4436 4218
460,4219 2646 4384 4400 2865 1966 4234 4361 4406 3844
461,4219 2646 4214 4395 4328 4424 2665 4384 4396 2698
462,4234 4408 2244 2196 4433 4371 4242 4354 4308 4243
463,4440 2646 4384 4406 4389 4219 4361 3844 2865 1966
464,2646 2962 4384 4328 2696 4525 4257 4440 4361 3470
465,4219 2646 1966 4387 4308 4400 4384 4234 4408 2865
466,3859 4351 2706 2906 4243 4269 3256 2905 4202 4375
467,1951 4234 4361 4403 4219 4286 4400 4214 2698 4532
468,4243 4008 2217 2197 4433 2247 2918 3793 4068 2661
469,4008 3595 2217 4388 4202 2942 2661 4420 4375 4243
470,4219 4400 2646 4308 2865 4389 4440 4361 4384 1966
471,3580 4218 4373 4381 2095 4243 4375 4304 4310 4006
472,4224 4185 4134 3779 3993 4291 2895 3777 4307 4243
473,4440 3078 4384 4219 4389 4361 2646 4312 4313 1966
474,1951 4234 3467 4308 4328 4366 4320 4214 4286 2232
475,4440 4219 4313 4202 2894 2696 4371 2254 4389 4375
476,4440 2220 4313 2696 2894 4439 4373 3993 4337 4389
477,4440 2968 4375 2894 4243 2220 4371 2794 2695 2663
478,4219 2646 4384 1966 4400 2865 4308 3470 4387 4395
479,4328 1909 4234 4396 4286 4308 4219 4361 1918 4362
480,4219 3470 4400 2696 2646 3078 1966 4384 4408 4332
481,4243 4008 2968 2661 2695 3595 2217 4388 2663 4420
482,4328 1901 4286 4234 1958 2802 4308 1923 4362 4396
483,4328 4396 3436 4286 4234 4400 1907 1909 4242 4321
484,2646 4389 4400 4219 4440 2865 4384 2521 4234 4407
485,1966 4219 2646 2865 4400 4384 4403 4361 4408 4308
486,4308 4396 4219 4234 4328 2249 4387 4407 4400 1909
487,4328 1909 4396 4234 4308 4286 1918 4361 4362 4219
488,1951 3467 4234 4286 4219 4361 4532 1909 4328 4320
489,4234 4308 1951 4214 2698 2646 4361 2665 4384 4460
490,4384 2646 4389 4440 4234 2943 4219 4313 2408 4361
491,4214 2646 4219 4395 4350 4384 4424 4313 4222 4389
492,3470 2646 4387 4219 4384 1966 4308 4504 2865 4234
493,4510 4375 2795 4269 3643 3128 3993 4203 4266 4316
494,2698 1951 4214 4234 4433 4243 2665 4219 4227 4366
495,4364 4423 4232 3786 4220 4294 3054 4207 4414 3688
496,2646 4219 2865 1966 4308 1909 4396 4361 1910 4009
497,4214 4219 4395 2521 2646 4400 2944 4387 4424 4361
498,4219 4400 4440 4361 2646 4389 2865 4308 4408 2521
499,4214 4308 2698 4362 2196 1909 2665 4451 4234 1901
500,4362 4050 2196 4234 4045 4153 4308 4227 4375 4433
